Question,Accepted Answer,Paraphrased Question
Modifying previously set CSS style of JEditorPane,"<p>You can modify a <code>Style</code> using <code>StyleConstants</code>, which has the added benefit of providing the properties you can modify reducing the dependency on string literals such as <code>""font-size""</code></p>

<p>For example, you could modify:</p>

<pre><code>style.addAttribute(""font-family"", ""Helvetica"");
style.addAttribute(""font-size"", 14);
</code></pre>

<p>to:</p>

<pre><code>StyleConstants.setFontSize(style, 14);
StyleConstants.setFontFamily(style, ""Helvetica"");
</code></pre>

<p>If you use the <code>printStyleAttributes</code> method I've included below, you will see that the changes are now reflected in the <code>Style</code>. However this won't automatically apply the changes to your editor pane </p>

<p>In order for the styling changes to be reflected you need to use <a href=""https://docs.oracle.com/javase/7/docs/api/javax/swing/text/DefaultStyledDocument.html#setCharacterAttributes(int,%20int,%20javax.swing.text.AttributeSet,%20boolean)"" rel=""nofollow""><code>setCharacterAttributes()</code></a> on your document, providing where it should apply from and whether it should override/replace any existing styles found</p>

<p>E.g: <code>document.setCharacterAttributes(0, document.getLength(), style, true);</code></p>

<p>Will update the entire document, replacing styles with the changes</p>

<hr>

<p>SSCCE:</p>

<pre><code>import javax.swing.*;
import javax.swing.text.*;
import javax.swing.text.html.HTMLDocument;
import javax.swing.text.html.HTMLEditorKit;
import javax.swing.text.html.StyleSheet;
import java.awt.*;
import java.util.Enumeration;

public class EditorStylingExample {
    public static void main(String[] args) {
        StyleSheet styleSheet = new StyleSheet();
        styleSheet.addRule(""body {font-family:\""Arial\""; font-size:12; } "");

        HTMLEditorKit messageEditorPaneHTMLEditorKit = new HTMLEditorKit();
        messageEditorPaneHTMLEditorKit.setStyleSheet(styleSheet);
        HTMLDocument document = (HTMLDocument) messageEditorPaneHTMLEditorKit.createDefaultDocument();

        JEditorPane editorPane = new JEditorPane(""text/html"", """");
        editorPane.setEditorKit(messageEditorPaneHTMLEditorKit);
        editorPane.setDocument(document);

        JButton changeStyleButton = new JButton(""Change style"");
        changeStyleButton.addActionListener(e -&gt; {
            Style style = styleSheet.getStyle(""body"");
            StyleConstants.setBold(style, true);
            StyleConstants.setFontSize(style, 14);
            StyleConstants.setFontFamily(style, ""Helvetica"");
            printStyleAttributes(style);
            document.setCharacterAttributes(0, document.getLength(), style, true);
        });

        JFrame frame = new JFrame(""Styling example"");
        JPanel contentPane = new JPanel();
        contentPane.setLayout(new BoxLayout(contentPane, BoxLayout.Y_AXIS));

        contentPane.add(editorPane);
        contentPane.add(changeStyleButton);

        editorPane.setAlignmentX(Component.CENTER_ALIGNMENT);
        changeStyleButton.setAlignmentX(Component.CENTER_ALIGNMENT);

        frame.setContentPane(contentPane);
        frame.setSize(300,300);
        frame.setLocationRelativeTo(null);
        frame.setVisible(true);
    }

    private static void printStyleAttributes(Style style) {
        Enumeration styleAttributes = style.getAttributeNames();
        while (styleAttributes.hasMoreElements()) {
            Object attribute = styleAttributes.nextElement();
            String attributeName = attribute.toString();
            Object attributeValue = style.getAttribute(attribute);
            System.out.println(attributeName + "": "" + attributeValue);
        }
    }
}
</code></pre>
",Adjusting the existing CSS styles of a JEditorPane component
How do I change the axis label of just the item selected in dc.js composite barChart,"<p>First off, whenever possible, I would suggest using the built-in selection/filter state rather than trying to keep track of clicks yourself. Otherwise they are bound to get out of sync at some point.</p>

<p>If you have the boldness of the ticks driven by the active filters, then you'll get the same behavior whether the bar or the tick was clicked, and you can be certain that exactly the ticks in the filters are the bolded ones:</p>

<p>CSS</p>

<pre><code>.dc-chart g.axis.x text.selected {
  font-weight: bold;
}
</code></pre>

<p>JS</p>

<pre><code>chart.on('filtered', function(chart) {
  var filters = chart.filters();
  chart.selectAll('.axis.x .tick text').classed('selected', function(d) {
    return filters.includes(d);
  })
})
</code></pre>

<p>[<em>Side note since I'm not answering your exact question</em>: if you want to make your code work, you could do something like filter the selection based on <code>d</code>:</p>

<pre><code>ByTopLvl.select('.tick text').filter(function(d2) { return d2 === d; })
</code></pre>

<p>or in your case, <code>this</code> is the clicked tick, so <code>d3.select(this)</code> should also work. But I think you'll run into a lot of bugs that way.]</p>

<p>Similarly, you can simplify your click behavior by tying into the built-in filter behavior, which already toggles:</p>

<pre><code>chart.on('pretransition', function(chart) {
  chart.select('.axis.x')
      .selectAll('.tick text')
      .on('click.select', function(d) {
          chart.filter(d); 
          chart.redrawGroup();
      });
});
</code></pre>

<p>Yeah, it's weird that the built-in filter function toggles, but that's just the way that dc.js evolved.</p>

<p><a href=""https://i.stack.imgur.com/WvFFZ.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/WvFFZ.png"" alt=""demo screenshot""></a></p>

<p><a href=""https://jsfiddle.net/gordonwoodhull/z7mt4jvf/28/"" rel=""nofollow noreferrer"">Here's a demo fiddle.</a></p>

<h3>In a composite</h3>

<p>Composite charts in dc.js are a little bit of a confusing mess. </p>

<p>The filter selection is shared between the parent and child, except they sort also handle it separately. </p>

<p>Unfortunately when I have to troubleshoot composite charts, I just try different things until it works, and never fully understand what's going on. I think it's just too complicated for my brain. :-O</p>

<p>Anyway, this worked... </p>

<p>Keep a reference to the inner bar chart:</p>

<pre><code>var chart = dc.compositeChart('#test'), bar;
  chart
      .width(768)
      .height(380)
      .x(d3.scaleBand())
      .xUnits(dc.units.ordinal)
      .brushOn(false)
      .xAxisLabel('Fruit')
      .yAxisLabel('Quantity Sold')
      .dimension(fruitDimension)
      .group(sumGroup)
      ._rangeBandPadding(0.05)
      .compose([
      bar = dc.barChart(chart)
          .barPadding(0.1)
          .outerPadding(0.05)
      ])
</code></pre>

<p>When responding to the click, filter the <em>child bar chart</em> instead of the <em>parent</em>:</p>

<pre><code>chart.on('pretransition', function(chart) {
  chart.select('.axis.x')
      .selectAll('.tick text')
      .on('click.select', function(d) {
          bar.filter(d); 
          chart.redrawGroup();
      });
});
</code></pre>

<p>Listen to the <code>filtered</code> event of the <em>child bar chart</em> and apply axis bolding to the <em>parent composite chart</em>:</p>

<pre><code>bar.on('filtered', function(chart) {
  var filters = chart.filters();
  chart.selectAll('.axis.x .tick text').classed('selected', function(d) {
    return filters.includes(d);
  })
})
</code></pre>

<p>Whoo. I guess it's sorta.. consistent? The child bar chart is the source of truth for the filters. Maybe I'm rationalizing.</p>

<p><a href=""https://jsfiddle.net/gordonwoodhull/z7mt4jvf/45/"" rel=""nofollow noreferrer"">New fiddle version.</a></p>
",What is the method to modify the axis label exclusively for the selected item in a composite barChart using dc.js?
Regrab $get parameter after dynamic load of a php include file,"<p>you should change <code>dataString</code> to</p>

<pre class=""lang-js prettyprint-override""><code>var dataString = 'keyword='+ faq_search_input +'&amp;page=&lt;?php echo $id; ?&gt;';
</code></pre>
",How can I retrieve the $get variable again after dynamically loading a PHP include file?
Module 'tensorflow.contrib.seq2seq' has no attribute 'simple_decoder_fn_train',"<p>The version of Tensorflow that you are using is not good i guess. 
Due to <a href=""https://github.com/codekansas/seqgan-text-tensorflow/issues/2"" rel=""nofollow noreferrer"">this GitHub ticket</a>, saying </p>

<blockquote>
  <p>This implementation uses APIr1.0.1 </p>
</blockquote>

<p>Since your version of Tensorflow is different, that causes the error.</p>
",Why is the 'simple_decoder_fn_train' attribute missing from the 'tensorflow.contrib.seq2seq' module?
AES-GCM decryption in python,"<p>Worked like a charm for me.</p>

<pre><code>from Crypto.Cipher import AES
import binascii

key = binascii.unhexlify('e629ed98829a893899ddda67f582ede72e2a187dd1ddd5ada54f49cfe2c8675f')
data = binascii.unhexlify('9012a33bfb0a51dec4f96404cdd7300ec6afca1fa0d6679a7c036652d014a38faf909e9c44d08dffac121aa85d48b7256fa74542e2545e27dc070adfc03af26f2a32f50c2c311d5c91ff6de2ca3b4347da70669575c9b198f4')
nonce, tag = data[:12], data[-16:]
cipher = AES.new(key, AES.MODE_GCM, nonce)
cipher.decrypt_and_verify(data[12:-16], tag)
</code></pre>

<p>displays</p>

<pre><code>b'I will become what I deserve, Is there anything like freewil?'
</code></pre>
",Decrypting AES-GCM in Python programming language
Can I access a member variable of a child class through a reference to a parent class?,"<p>You cannot use a method of derived class in object of the base class if it's not instance of it. You have to perform a class check against the <code>card</code> object first. You can only use <code>isBasic</code> method if your <code>Card</code> object is a <code>Land</code> at the same time, and you'll have to perform <a href=""https://howtoprogramwithjava.com/java-cast/"" rel=""nofollow"">object casting</a>.</p>

<p>I let myself change class names to PascalCase, because <a href=""https://en.wikipedia.org/wiki/Naming_convention_(programming)#Java"" rel=""nofollow"">this is a recommended naming convention in Java</a>.</p>

<pre><code>class Card {
     //some stuff here
}

class Land extends Card {
    private boolean isBasic;
    public void isBasic(){
        return isBasic;
    }
}

class UsesCards extends SomethingElse {
    //initialize variables like SIZE
    Card cardList = new Card[SIZE];

    public void addCard(Card card){
        // Checking card's actual class.
        if (card instanceof Land &amp;&amp; ((Land)card).isBasic()){
            //the rest
        }
    }
}
</code></pre>

<p><a href=""https://docs.oracle.com/javase/tutorial/java/IandI/subclasses.html"" rel=""nofollow"">Here</a> you can read more about inheritance in Java.</p>
",Is it possible to reference a child class's member variable using a parent class reference?
Is this a good way of scoring?,"<p>Your approach is fine. You will be able to achieve the objective.
Below approach is also similar with slight modifications.</p>

<p><strong>Note:</strong> I assume that it is not a real-world case. If so, the system needs  to be designed more effectively. You might want to capture other details also and it would not make sense to ask user input the badge number every time. Also, with this approach, there is no way in which we are capturing the order of winners. It is fine for a simple assignment but not the right way for a real-world scenario.</p>

<pre><code>int numberOfPlayers = 30;
int pointsClubA = 0, pointsClubB=0, pointsClubC=0;
String winner = """";

for (int i=0; i&lt; numberOfPlayers ; i++)
{
    print ""What is the number just finished?""
    input backnumber;

    if  (backnumber &gt;=700 &amp;&amp; backnumber &lt;= 709)
    {
         pointsClubA++;
    }
    else  if  (backnumber &gt;=800 &amp;&amp; backnumber &lt;= 809)
    {
         pointsClubB++;
    }
    else  if  (backnumber &gt;=900 &amp;&amp; backnumber &lt;= 909)
    {
         pointsClubC++;
    }
    else
    {
         print (""invalid"");
    }


   print ""On position nr"",(i+1),""its the runner with backnummer"",backnumber,;
} // End of for loop

   int winningScore = Math.max (pointsClubA,pointsClubB, pointsClubC);

   if (pointsClubA == winningScore)
   {
       winner = ""Team A""
   }  
   // Use if here instead of else if , because multiple winners are possible. 
   if (pointsClubB == winningScore)
   {
       if ("""".equals(winner))
           winner = "" and Team B""
       else
           winner = ""Team B""
   }   
   if (pointsClubC == winningScore)
   {
       if ("""".equals(winner))
           winner = "" and Team C""
       else
           winner = ""Team C""
   }           
   // Multiple winners are possible
   print ""Match Won By : "" +winner;

   // Sample outputs are:
   // Match won by Team A
   // Match won by Team B and Team C
</code></pre>
",Is this an effective method for evaluating performance?
List elements are being displayed out of order,"<p>This may have something to do with putting a <code>span</code> inside a <code>ul</code>, which is invalid HTML.</p>

<blockquote>
  <p><a href=""https://developer.mozilla.org/en-US/docs/Web/HTML/Element/ul"" rel=""nofollow noreferrer""><strong><code>&lt;ul&gt;</code></strong></a></p>
  
  <p><em>Permitted content:</em></p>
  
  <p>zero or more <code>&lt;li&gt;</code> elements, eventually mixed with <code>&lt;ol&gt;</code> and <code>&lt;ul&gt;</code> elements.</p>
</blockquote>

<p>source: <a href=""https://developer.mozilla.org/en-US/docs/Web/HTML/Element/ul"" rel=""nofollow noreferrer"">https://developer.mozilla.org/en-US/docs/Web/HTML/Element/ul</a></p>

<hr>

<p>If you need to create sub-groups of list items, then nest your lists.</p>

<pre><code>&lt;ul&gt;
    &lt;li&gt;...&lt;/li&gt;
    &lt;li&gt;...&lt;/li&gt;
    &lt;li&gt;
        &lt;ul&gt;
            &lt;li&gt;...&lt;/li&gt;
            &lt;li&gt;...&lt;/li&gt;
        &lt;/ul&gt;
    &lt;/li&gt;
    &lt;li&gt;...&lt;/li&gt;
&lt;/ul&gt;
</code></pre>

<hr>

<p><strong>Update</strong> (based on comments and revised question)</p>

<p>In your nav screenshot, the gap along the bottom margin may be caused by <code>display: inline-block</code>. </p>

<p>Here are two methods for removing it:</p>

<ul>
<li>change the <code>display</code> value to <code>block</code></li>
<li>add <code>vertical-align: bottom</code> to the rule</li>
</ul>

<p>For an explanation and other methods see this post:</p>

<ul>
<li><a href=""https://stackoverflow.com/q/32801095/3597276"">inline-block boxes not fitting in their container</a></li>
</ul>
",Why are the items in the list appearing in an unexpected sequence?
Google chart clearChart() with vue-google-charts,"<p>use the <code>@ready</code> attribute to get a reference to the chart on the first draw...</p>
<pre><code>&lt;GChart
  type=&quot;ColumnChart&quot;
  @ready=&quot;onChartReady&quot;
/&gt;

export default {
  methods: {
    onChartReady (chart, google) {
      const query = new google.visualization.Query('https://url-to-spreadsheet...')
      query.send(response =&gt; {
        const options = {
          // some custom options
        }
        const data = response.getDataTable()
        chart.draw(data, options)
      })
    }
  }
}
</code></pre>
<p>see --&gt; <a href=""https://www.npmjs.com/package/vue-google-charts#use-ready-for-something-very-custom"" rel=""nofollow noreferrer"">use ready for something very custom</a></p>
",Implementing clearChart() in vue-google-charts for Google Charts
Pandas dummies using list of categories encoded as string,"<p>You can use <a href=""http://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.str.get_dummies.html"" rel=""nofollow noreferrer""><code>get_dummies</code></a> with <a href=""http://pandas.pydata.org/pandas-docs/stable/generated/pandas.DataFrame.join.html"" rel=""nofollow noreferrer""><code>join</code></a> or <a href=""http://pandas.pydata.org/pandas-docs/stable/generated/pandas.concat.html"" rel=""nofollow noreferrer""><code>concat</code></a>:</p>

<pre><code>df = df[['id']].join(df['amentieis'].str.get_dummies(','))
print (df)
   id  Heating  Hot tub  Internet  Shower  TV
0   1        0        0         1       1   1
1   2        0        1         1       0   1
2   3        1        0         1       1   0
</code></pre>

<p>Or:</p>

<pre><code>df = pd.concat([df['id'], df['amentieis'].str.get_dummies(',')], axis=1)
print (df)
   id  Heating  Hot tub  Internet  Shower  TV
0   1        0        0         1       1   1
1   2        0        1         1       0   1
2   3        1        0         1       1   0
</code></pre>
",Creating Pandas dummy variables from a string-encoded list of categories
How can I perform a calculation on my CVXPY variable?,"<h1>Problem</h1>
<p>I assume that the pump starts running at the beginning of each time period, and stops after <code>running_time</code> seconds, until the next time period starts. We are checking the level at the end of each period but within the periods the level may get higher when the pump is working. I hope I've understood the problem correctly.</p>
<h1>Solution</h1>
<p>The constraint is:</p>
<pre><code>res_level(t) &lt; 2.4
</code></pre>
<p>The function is piecewise smooth, the pieces being separated by time period boundaries and the event of pump shutdown within each time period.</p>
<p>Mathematically we know that the constraint is satisfied if the value of <code>res_level(t)</code> is smaller than <code>2.4</code> at all critical points—i.e. piece boundaries and interior extrema.</p>
<p>We also know that <code>res_level(t)</code> is linear in the piece intervals. So there are no interior extrema—except in case of constant function, but in that case the value is already checked at the boundaries.</p>
<p>So your approach of checking <code>res_level</code> at ends of each period is correct, except that you also need to check the level at the times of pump shutdown.</p>
<p>From simple mathematics:</p>
<pre><code>res_level(t_shutdown) = res_level(period_start) + flow_in - (t_shutdown/t_period) * flow_out
</code></pre>
<p>In CVXPY this can be implemtend as:</p>
<pre class=""lang-py prettyprint-override""><code>res_level_at_beginning_of_period = res_level - flow_diff * FACTOR
flow_diff_until_pump_shutdown = (flow_in - cp.multiply(flow_out, (running_time / periods_minutes))) / 1000
res_level_at_pump_shutdown = res_level_at_beginning_of_period + flow_diff_until_pump_shutdown * FACTOR
max_level_constraint_at_pump_shutdown = res_level_at_pump_shutdown &lt;= 2.4
constraints += [max_level_constraint_at_pump_shutdown]
</code></pre>
<p>Running the code with this additional constraint gave me the following <code>res_levels</code> (levels at end of periods):</p>
<pre><code>[2.0448792  1.8831538  2.09393089 1.80086488 1.96100436 1.81727335
 2.0101401 ]
</code></pre>
",What methods can I use to execute mathematical operations on a CVXPY variable?
jQuery Ajax call doesn't seem to work,"<p>You missed the comma after <code>type: ""GET""</code>. Also, as mentioned by @blex in a comment, you should put your bindings inside an ondomready context, to make sure that your element has been loaded before binding.</p>

<pre><code> $(function(){
    $('.doit').click(function (e) {
      e.preventDefault();
      $.ajax({
        url: ""https://www.domain.com/page.php?do=it"",
        type: ""GET"",
        success: function (data) {
            $("".result"").html('&lt;strong&gt;Done!&lt;/strong&gt;');
        },
        error: function (xhr, ajaxOptions, thrownError) {
            $("".result"").html('&lt;strong&gt;Houston, we have a problem.&lt;/strong&gt;');
        },
        timeout: 15000
      });
    });
 });
</code></pre>
",Why isn't my jQuery Ajax request functioning as expected?
Problems with webix.require Webix3.1,"<p>Starting from Webix 3.x, require uses async.mode by default. </p>

<p>To force the old behavior use:</p>

<pre><code>webix.require(""jSFiles/files.js"", true)
</code></pre>

<p>thanks to <a href=""https://twitter.com/kozhemak"" rel=""nofollow"">@kozhemak</a></p>
",Issues Encountered with webix.require in Webix Version 3.1
How to calculate sum in a 3D Array in java?,"<p>If you want to calculate the sum of all elements in a week, you could simply change your second loop to:</p>

<pre><code>for (int week = 0; week &lt; calls.length; week++) {
        for (int days = 0; days &lt; calls[week].length; days++) {
            for (int resp = 0; resp &lt; calls[week][days].length; resp++) {
                total += (calls[week][days][resp]);
            }

        }
        System.out.println(""Week "" + (week + 1) + ""= "" + total);
        total = 0.0;
    }
</code></pre>

<p>which will print you total of each week. Here is an output:</p>

<pre><code>Week 1= 14452.0
Week 2= 12148.0
Week 3= 11827.0
Week 4= 12368.0
</code></pre>

<p>Hope it helps!</p>
",What is the method to compute the total in a three-dimensional array using Java?
Add tree as a sub tree to different type of tree,"<p>Make/use a tree interface or abstract class that all the other trees implement/extend, then create a list of that interface or abstract class. E.g:</p>

<pre><code>ArrayList&lt;TreeInterface&gt; treeArray = new ArrayList&lt;TreeInterface&gt;();
</code></pre>

<p>This interface/abstract class should have all of the methods, getters and setters you will need to access the data you want later on.</p>

<p>If you can't do that, I think you can only make an array of Object to satisfy this...</p>
",Incorporate a subtree into a different kind of tree structure.
Help Needed in Understanding TPTP Profiling Results,"<p><strong>Base Time</strong>: The amount of time (in seconds) the method has taken to execute. Not including the execution time of any other methods called from this method.</p>

<p><strong>Average base time</strong>: The average base time required to execute this method once.</p>

<p><strong>Cumulative base time</strong>: The amount of time (in seconds) this method took to execute. Including the execution time of any other methods called from this method.</p>

<p><strong>Calls</strong>: The number of times this method was invoked.</p>

<p>You may want to have a look at the following Tutorial, where this information is located: <a href=""http://www.eclipse.org/tptp/home/documents/tutorials/profilingtool/profilingexample_32.html"" rel=""nofollow"">An introduction to profiling Java applications</a></p>
",Assistance Required for Comprehending TPTP Performance Metrics
Set image in an input value,"<p>You can set the image by putting image as the background of the element</p>

<p>For example</p>

<p>html</p>

<pre><code>&lt;input type=""text"" value=""Lorem Impsum"" class=""default"" /&gt;
</code></pre>

<p>css</p>

<pre><code>input.default{
       background: url('../images/any.jpg') 0 0 no-repeat;
    }
</code></pre>

<p>You can set the css of the element using jquery on document ready.</p>
",Assign an image to an input field.
Should I strictly avoid using enums on Android?,"<p>Use <code>enum</code> when you need its features. <strong>Don't avoid it <em>strictly</em></strong>.</p>

<p>Java enum is more powerful, but if you don't need its features, use constants, they occupy less space and they can be primitive itself.</p>

<h3>When to use enum:</h3>

<ul>
<li>type checking - you can accept <em>only</em> listed values, and they are not continuous (see below what I call <em>continuous</em> here)</li>
<li><p>method overloading - every enum constant has its own implementation of a method<br/></p>

<pre><code>public enum UnitConverter{
    METERS{
        @Override
        public double toMiles(final double meters){
            return meters * 0.00062137D;
        }

        @Override
        public double toMeters(final double meters){
            return meters;
        }
    },
    MILES{
        @Override
        public double toMiles(final double miles){
            return miles;
        }

        @Override
        public double toMeters(final double miles){
            return miles / 0.00062137D;
        }
    };

    public abstract double toMiles(double unit);
    public abstract double toMeters(double unit);
}
</code></pre></li>
<li><p>more data - your one constant contains more than one information that cannot be put in one variable</p></li>
<li>complicated data - your constant need methods to operate on the data</li>
</ul>

<h3>When <em>not</em> to use enum:</h3>

<ul>
<li>you can accept all values of one type, and your constants contain only these most used</li>
<li><p>you can accept continuous data<br/></p>

<pre><code>public class Month{
    public static final int JANUARY = 1;
    public static final int FEBRUARY = 2;
    public static final int MARCH = 3;
    ...

    public static String getName(final int month){
        if(month &lt;= 0 || month &gt; 12){
            throw new IllegalArgumentException(""Invalid month number: "" + month);
        }

        ...
    }
}
</code></pre></li>
<li>for names (like in your example)</li>
<li>for everything else that really doesn't need an enum</li>
</ul>

<h3>Enums occupy more space</h3>

<ul>
<li>a single reference to an enum constant occupies <strong>4 bytes</strong></li>
<li>every enum constant occupies space that is a <strong>sum of its fields' sizes</strong> aligned to 8 bytes + <strong>overhead of the object</strong></li>
<li>the enum class itself occupies some space</li>
</ul>

<h3>Constants occupy less space</h3>

<ul>
<li>a constant doesn't have a reference so it's a pure data (even if it's a reference, then enum instance would be a reference to another reference)</li>
<li>constants may be added to an existing class - it's not necessary to add another class</li>
<li>constants may be inlined; it brings extended compile-time features (such as null checking, finding dead code etc.)</li>
</ul>
",Is it advisable to refrain from utilizing enums in Android development?
Conversion to Dalvik format failed error for Android Grid View,"<p>Some of those examples on the Android developer site are a trifle out of date, and so it may be that the one giving you grief is no longer a great example to work from.</p>

<p>Try <a href=""http://github.com/commonsguy/cw-android/tree/master/Selection/Grid/"" rel=""nofollow noreferrer"">this <code>GridView</code> sample</a> for something that definitely works on current versions of Android.</p>
",Error encountered while converting to Dalvik format for Android's Grid View implementation
How to color scatterplot in matplotlib based on the values of y axis,"<p>If you are using Numpy's ndarrays, it's simpler</p>
<pre class=""lang-py prettyprint-override""><code>import numpy as np
import matplotlib.pyplot as plt

# test data
y = np.random.randint(2800, 3100, size=(100,))
x = np.arange(0, 100)

# create a Boolean array (a mask), possibly negate it using the &quot;~&quot; unary operator
ygt3000 = y&gt;3000
plt.scatter(x[~ygt3000], y[~ygt3000], color='blue')
plt.scatter(x[ygt3000], y[ygt3000], color='red')
</code></pre>
<p>if you are using <em><strong>real</strong></em> lists, it's a bit more complicated, but can be done using list comprehensions</p>
<pre class=""lang-py prettyprint-override""><code>x = x.tolist()
y = y.tolist()

ygt3000 = [val&gt;3000 for val in y]
plt.scatter([xv for xv, ygt in zip(x, ygt3000) if not ygt],
            [yv for yv, ygt in zip(y, ygt3000) if not ygt], color='blue') 
plt.scatter([xv for xv, ygt in zip(x, ygt3000) if ygt],
            [yv for yv, ygt in zip(y, ygt3000) if ygt], color='red') 
</code></pre>
<p>Here it is the result of the code above when applied to two sequences of random numbers.</p>
<p><a href=""https://i.stack.imgur.com/cdzOw.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/cdzOw.png"" alt=""enter image description here"" /></a></p>
<hr />
<p>August 2021, because Trenton McKinney made a beautiful edit (thank you Trenton) this post came again to my attention, and I saw the light</p>
<pre><code>plt.scatter(x, y, c=['r' if v&gt;3000 else 'b' for v in y])
</code></pre>
<hr />
<p>Just a day later, I realized that a  similar feat can be used with Numpy, taking advantage of <em>advanced indexing</em></p>
<pre><code>plt.scatter(x, y, c=np.array(('b','r'))[(y&gt;3000).astype(int)])
</code></pre>
<p>but honestly I prefer the two-pass approach I've used previously, because it's more to the point and conveys much more meaning. Or, in other words, the latter looks obfuscated code...</p>
",What methods can be used to assign colors to a scatterplot in matplotlib according to the y-axis values?
Why does my JS 'click event' only run once?,"<p>this happens because you're checking if className == &quot;&quot;, but you are modifying the className to be &quot;open&quot;. On the second click it checks the className which is now &quot;open&quot; and goes to the else block. On the third click you expect for it to go into the first block but the className is still &quot;open&quot;.</p>
<p>For an easy fix just change the className in the else block</p>
<pre><code>else {
  moreInfo.className = &quot;&quot;;  
  moreInfo.style.display = 'none';
}
</code></pre>
<p>Also i suggest you make use of the <code>classList</code> property on elements
<a href=""https://developer.mozilla.org/en-US/docs/Web/API/Element/classList"" rel=""nofollow noreferrer"">https://developer.mozilla.org/en-US/docs/Web/API/Element/classList</a></p>
<p>using the class list it could look like this:</p>
<pre><code>readMore.addEventListener(&quot;click&quot;, function () {
  changeSepa.style.height = &quot;2rem&quot;;
  if (moreInfo.className == &quot;&quot;) {
    moreInfo.classList.add(&quot;open&quot;);
    moreInfo.style.display = &quot;block&quot;;
  } else {
    moreInfo.classList.remove(&quot;open&quot;);
    moreInfo.style.display = &quot;none&quot;;
  }
});

</code></pre>
<p>Or even</p>
<pre><code>readMore.addEventListener(&quot;click&quot;, function () {
  changeSepa.style.height = &quot;2rem&quot;;
  moreInfo.classList.toggle(&quot;open&quot;);
  if (moreInfo.className == &quot;&quot;) {
    moreInfo.style.display = &quot;block&quot;;
  } else {
    moreInfo.style.display = &quot;none&quot;;
  }
});

</code></pre>
",What could be the reason for my JavaScript click event executing a single time?
How to make ArrayList of hashset in java?,"<p>Just make an ArrayList of HashSets :</p>

<pre><code>ArrayList&lt;HashSet&lt;Integer&gt;&gt; list = new ArrayList&lt;HashSet&lt;Integer&gt;&gt;();
</code></pre>

<p>Then create HashSets, fill them, and put them in your ArrayList normally.</p>

<pre><code>HashSet&lt;Integer&gt; set = new HashSet&lt;Integer&gt;();
set.add(1);
set.add(whateverIntValue);
list.add(set);
</code></pre>

<p>You can then get the nth HashSet of your list using <code>list.get(n)</code>.</p>
",What is the method to create an ArrayList that contains HashSets in Java?
"How can I search for the string ""\\"" using javascript or regular expressions?","<p>If the string literal you have is <code>""\\""</code> and you want to match the characters within that string <em>value</em>, you only need to match <code>\</code> because the <em>value</em> of the string is <code>\</code>.</p>

<p>If the string literal you have is <code>""\\\\""</code>, you need to match <code>\\</code> because the value of the string is <code>\\</code>.</p>

<p>With a regular expression <em>literal</em> you'd have to escape the backslash just like you would within a string literal:</p>

<pre><code>/\\/g //matches any single backslash character

/\\\\/g //matches any double backslash characters
</code></pre>

<p>With a regular expression <em>string</em> passed to the <code>RegExp</code> constructor, you'd have to escape the backslash for the string, and then again for the regular expression:</p>

<pre><code>new RegExp(""\\\\"", 'g'); //matches any single backslash character

new RegExp(""\\\\\\\\"", 'g'); //matches any double backslash characters
</code></pre>

<p>Strings passed to the regular expression constructor need to have a <em>value</em> identical to what you'd use in a regular expression literal. This means an extra level of escaping certain characters. This can become especially confusing with some characters that need to be escaped for the string, but not the regular expression value, and other characters that need to be escaped for the regular expression but not the string literal.</p>

<p>For example, a quote character (<code>""</code> or <code>'</code>) within a string needs to be escaped otherwise it'll end the string literal:</p>

<pre><code>/""/ //regular expression to match a double quote
new RegExp(""\""""); //regular expression string to match a double quote character
new RegExp('""'); //alternative regular expression string to match a double quote character
</code></pre>

<p>Note how the backslash doesn't need to be double escaped.</p>

<p>As another example a <code>.</code> character needs to be escaped within a regular expression otherwise <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/RegExp#character-classes"" rel=""nofollow"">it'll match any character that isn't a line terminator</a>:</p>

<pre><code>/\./ //regular expression to match a period character
new RegExp('\\.'); //regular expression string  to match a period character
</code></pre>

<p>Note how the backslash character <em>does</em> need to be double escaped.</p>
","What methods can I use to locate the sequence ""\\"" utilizing JavaScript or regex patterns?"
discrepancy in array.reduce javascript,"<blockquote>
  <p>Why does it return 6 ?</p>
</blockquote>

<p>because <code>a</code> is an <code>accumulator</code> which also happens to be <em>return value of every iteration</em>.</p>

<p>This line </p>

<pre><code>return (a.value &lt; b.value) ? a.start : b.start;
</code></pre>

<p>translates to conditional expression as</p>

<pre><code>{start: 1, value : 4}.value &lt; { start: 2, value: 5}.value
</code></pre>

<p>and next time onwards</p>

<pre><code>(4).value &lt; { start: 3,  value: 1 } //false hence return 1
</code></pre>

<p>Since <code>(4).value</code> is <code>undefined</code> and comparison with <code>undefined</code> always returns <code>false</code>.</p>

<p>Last iteration will be</p>

<pre><code>(14).value &lt; { start: 6,  value: 3 } 
</code></pre>

<p>return <code>6</code>.</p>
",Inconsistencies observed while utilizing array.reduce in JavaScript
